(Não Modificar) Conta;(Não Modificar) Soma de Verificação da Linha;(Não Modificar) Data de Modificação;ID da Escola;Nome da Escola;Carteira SAF;Status da Escola;Tipo de Escola;CNPJ;Logradouro Escola;Bairro Escola;CEP Escola;Cidade da Escola;Estado da Escola;Região da Escola;Telefone de Contato da Escola;E-mail da Escola;Razão Social;Nome Fantasia;Status CNPJ;Status Visita Liderança;Performance da Meta;Atual Série;Avançando de Segmento;Cluster;Outro Telefone;Ticket Médio;Toddle
c3587e0a-fb95-ee11-be37-000d3a889d88;rvvrCQBrJNUxhXH7cQEgzS1ST8Wfvu4zRUfjKmzdwPuctrJGQRiWmPqDwS9QW8UStwxK/m7z291dOexIGtzZ3A==;08/09/2025 12:50;793;Maple Bear Arcoverde;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;52369877000158;Rua Um;Cidade Jardim;56507125;Arcoverde;PE;Nordeste;8198992050;MAPLEBEAR.ARCOVERDE@GMAIL.COM;ARCOVERDE CANADIAN SCHOOL LTDA;MAPLE BEAR ARCOVERDE;Ativa;Aberto;;;;Implantação;;;
50cd7d10-fb95-ee11-be37-000d3a889d88;s5/KnemSXpQuLkJUYS/82XdJCWXDwi+l+/o5JihhqxgNyNj5oJRgzWP15RVWBuVHCQRwENhhaDP6hSzYF3SolQ==;08/09/2025 12:50;790;Maple Bear Pindamonhangaba;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;52363252000189;Rua Alcides Ramos Nogueira;Condominio Residencial Real Ville;12421705;Pindamonhangaba;SP;Sudeste;1141233344;LEGALIZACAO@SCLEMPRESARIAL.COM.BR;JAICER SERVICOS EDUCACIONAIS LTDA;JAICER SERVICOS EDUCACIONAIS;Ativa;Concluído;🔴;;;Implantação;;;
e8ce7d10-fb95-ee11-be37-000d3a889d88;IccVi7YDXWcrMBsf0enFy1IEXmBHMurlhQrcRw4jwajo7FMYlYjgzzYl7pH5j7NFdQHWkEJ3qrjqeaceiUB7Rg==;25/03/2025 20:23;802;Maple Bear Balsas;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;52936569000167;Rua 28;;65800000;Balsas;MA;Nordeste;9991560600;AUGUSTOSCONTABILIDADE@GMAIL.COM;CENTRO INTERNACIONAL DE EDUCACAO LTDA;CENTRO INTERNACIONAL DE EDUCACAO;Ativa;Aberto;🔴;;;Implantação;;;
2db86622-fb95-ee11-be37-000d3a889d88;5aOIR3Y6dtvwGe3whAtWLEUTMY/hv6ZURWfbw5TbOYMugXc2rTGmcit2Givp+75nVcLYHWaxOXiRIrAF3zHigg==;31/03/2025 14:45;679;Maple Bear Paracatu - Centro I;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;48682676000139;Rua Manoel Melo Franco;Centro;38600260;Paracatu;MG;Sudeste;3897543390;NP.CONTABIL@OUTLOOK.COM;INSTITUTO ESTEVAO FERCOS DE EDUCACAO LTDA;INSTITUTO ESTEVAO FERCOS DE EDUCACAO;Ativa;Aberto;🔴;SK;;Implantação;;;
41035f28-fb95-ee11-be37-000d3a889d88;v/snBt771ASZd0IqbukAFX21A+gb3Ij4YhQalsOXXbwjg1fgB4rA2OlI4Zl49NwpFiUL5pMzxoK2Y11+UYQsFg==;24/09/2025 16:29;742;Maple Bear Conselheiro Lafaiete;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;44278187000165;Rua Valério Eugênio;Areal;36407006;Conselheiro Lafaiete;MG;Sudeste;3188661010;WANDERSONCOOPVEST@YAHOO.COM.BR;ESCOLA CANADENSE DE LAFAIETE LTDA;MAPLE BEAR LAFAIETE;Ativa;Aberto;;Year 1;;Implantação;;;
72045f28-fb95-ee11-be37-000d3a889d88;VZAKX9E37Bqrb2WylKhFSZPnTicRGnjfyPp55Z5EhXVshf8DADhTWvg+y6vDp5iu/ROB/TIgLZ1bQ0lTPHmm0A==;31/03/2025 14:45;688;Maple Bear Araguaína - Alaska II;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;46037833000128;Av. Dom Bosco;Alaska Ii;77813650;Araguaína;TO;Norte;6392010114;MBA.DIREG@GMAIL.COM;NTO NEGOCIOS EDUCACIONAIS LTDA;PLATAFORMA DE ENSINO INFANTIL DE ARAGUAINA;Ativa;Concluído;🔴;Year 12;;Implantação;;;
54e9d522-6497-ee11-be37-000d3a88f98e;BKQ6wVBC5aIasyr+4XItMyVH+tKgujK0PiCeqysPFau5XPadTlODF/tB1MSQ3edshrEaq3Fel58EKWC4ZRC0jQ==;25/03/2025 19:59;859;Maple Bear Mossoró;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;33150977000144;Rua Engenheiro Antônio Lira;Tirol;59015320;Natal;RN;Nordeste;8420100067;CONTATO@M2CONTABILIDADE.NET;ESCOLA CANADENSE AVANCADA BILINGUE - ECAB LTDA;;Ativa;Agendado;🔴;;;Implantação;;;
9fb8d217-3df8-ee11-a1fe-000d3a88fd4c;s9xOGBI8aNtNCkcDxzQfA0XvmbMOwgSs+Smim3gjiVFjWMwYRoSZv4J7Mb5qU5wFr+hoXOJxQuNMMVayz4beiQ==;11/07/2025 20:14;784;Maple Bear Sete Lagoas;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;51722639000111;Rua Cachoeira da Prata;Canaã;35700318;Sete Lagoas;MG;Sudeste;3432415920;ESCBANDEIRANTES@ESCBANDEIRANTES.COM.BR;CENTRO DE EDUCACAO INFANTIL E FUNDAMENTAL CANADENSE LTDA;MAPLE BEAR SETE LAGOAS;Ativa;Concluído;🔴;;;Implantação;;;
c07cb285-42f8-ee11-a1fe-000d3a88fd4c;dHFGcB4RNYZYT3y85+GHFkNk0Sa4zxF99zFj1apWA0zplgC4Y0Gjv3cPnM/JKxRc4bn+rmaJEe4ESQiIaip0zg==;08/09/2025 12:51;805;Maple Bear São Paulo - Parque São Jorge;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;60597044005301;Rua Ivaí;Tatuapé;03080010;São Paulo;SP;Sudeste;1136758995;juridico@ligasolidaria.org.br;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;COLEGIO SANTA AMALIA MAPLE BEAR III - ENSINO BILINGUE;Ativa;Agendado;🔴;;;Implantação;;;
c506d668-8a09-ef11-9f89-0022483683f9;sdWQwrEpaMffglNSN+YExeM09iHfa7tKR/BkprMyqaV1rhJbRAzs/CmgXYPChR9V8XD5wgpPsYCvPwOOheiI4A==;30/07/2025 17:14;856;Maple Bear Itumbiara - Centro;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;54975468000120;Rua Tiradentes;Santa Inês;75526160;Itumbiara;GO;Centro-Oeste;6499317551;CRCAUL@HOTMAIL.COM;COLEGIO VERTICE BILINGUE DE ITUMBIARA LTDA;MAPLE BEAR ITUMBIARA;Ativa;Concluído;;;;Implantação;;;
