ID da Escola;Nome da Escola;Carteira SAF;Status da Escola;Tipo de Escola;CNPJ;Logradouro Escola;Bairro Escola;CEP Escola;Cidade da Escola;Estado da Escola;Região da Escola;Telefone de Contato da Escola;E-mail da Escola;Razão Social;Nome Fantasia;Status CNPJ;Status Visita Liderança;Performance da Meta;Atual Série;Avançando de Segmento;Cluster;Ticket Médio;Toddle;Status da Escola (Repo);Cluster (Repo);Carteira SAF (Repo);CNPJ (Repo);Logradouro Escola (Repo);Bairro Escola (Repo);CEP Escola (Repo);Cidade da Escola (Repo);Estado da Escola (Repo);Região da Escola (Repo);Telefone de Contato da Escola (Repo);E-mail da Escola (Repo)
793.0;Maple Bear Arcoverde;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;523698770001580;Rua Um;Cidade Jardim;56507125.0;Arcoverde;PE;Nordeste;8198992050.0;MAPLEBEAR.ARCOVERDE@GMAIL.COM;ARCOVERDE CANADIAN SCHOOL LTDA;MAPLE BEAR ARCOVERDE;Ativa;Aberto;;;;Implantação;;;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;52369877000158.0;Rua Um;Cidade Jardim;56507125.0;Arcoverde;PE;Nordeste;8198992050.0;MAPLEBEAR.ARCOVERDE@GMAIL.COM
790.0;Maple Bear Pindamonhangaba;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;523632520001890;Rua Alcides Ramos Nogueira;Condominio Residencial Real Ville;12421705.0;Pindamonhangaba;SP;Sudeste;1141233344.0;LEGALIZACAO@SCLEMPRESARIAL.COM.BR;JAICER SERVICOS EDUCACIONAIS LTDA;JAICER SERVICOS EDUCACIONAIS;Ativa;Concluído;🔴;;;Implantação;;;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;52363252000189.0;Rua Alcides Ramos Nogueira;Condominio Residencial Real Ville;12421705.0;Pindamonhangaba;SP;Sudeste;1141233344.0;LEGALIZACAO@SCLEMPRESARIAL.COM.BR
802.0;Maple Bear Balsas;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;529365690001670;Rua 28;;65800000.0;Balsas;MA;Nordeste;9991560600.0;AUGUSTOSCONTABILIDADE@GMAIL.COM;CENTRO INTERNACIONAL DE EDUCACAO LTDA;CENTRO INTERNACIONAL DE EDUCACAO;Ativa;Aberto;🔴;;;Implantação;;;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;52936569000167.0;Rua 28;;65800000.0;Balsas;MA;Nordeste;9991560600.0;AUGUSTOSCONTABILIDADE@GMAIL.COM
679.0;Maple Bear Paracatu - Centro I;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;486826760001390;Rua Manoel Melo Franco;Centro;38600260.0;Paracatu;MG;Sudeste;3897543390.0;NP.CONTABIL@OUTLOOK.COM;INSTITUTO ESTEVAO FERCOS DE EDUCACAO LTDA;INSTITUTO ESTEVAO FERCOS DE EDUCACAO;Ativa;Aberto;🔴;SK;;Implantação;;;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;48682676000139.0;Rua Manoel Melo Franco;Centro;38600260.0;Paracatu;MG;Sudeste;3897543390.0;NP.CONTABIL@OUTLOOK.COM
742.0;Maple Bear Conselheiro Lafaiete;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;442781870001650;Rua Valério Eugênio;Areal;36407006.0;Conselheiro Lafaiete;MG;Sudeste;3188661010.0;WANDERSONCOOPVEST@YAHOO.COM.BR;ESCOLA CANADENSE DE LAFAIETE LTDA;MAPLE BEAR LAFAIETE;Ativa;Aberto;;Year 1;;Implantação;;;;;;;;;;;;;;
688.0;Maple Bear Araguaína - Alaska II;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;460378330001280;Av. Dom Bosco;Alaska Ii;77813650.0;Araguaína;TO;Norte;6392010114.0;MBA.DIREG@GMAIL.COM;NTO NEGOCIOS EDUCACIONAIS LTDA;PLATAFORMA DE ENSINO INFANTIL DE ARAGUAINA;Ativa;Concluído;🔴;Year 12;;Implantação;;;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;46037833000128.0;Av. Dom Bosco;Alaska Ii;77813650.0;Araguaína;TO;Norte;6392010114.0;MBA.DIREG@GMAIL.COM
859.0;Maple Bear Mossoró;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;331509770001440;Rua Engenheiro Antônio Lira;Tirol;59015320.0;Natal;RN;Nordeste;8420100067.0;CONTATO@M2CONTABILIDADE.NET;ESCOLA CANADENSE AVANCADA BILINGUE - ECAB LTDA;;Ativa;Agendado;🔴;;;Implantação;;;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;33150977000144.0;Rua Engenheiro Antônio Lira;Tirol;59015320.0;Natal;RN;Nordeste;8420100067.0;CONTATO@M2CONTABILIDADE.NET
784.0;Maple Bear Sete Lagoas;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;517226390001110;Rua Cachoeira da Prata;Canaã;35700318.0;Sete Lagoas;MG;Sudeste;3432415920.0;ESCBANDEIRANTES@ESCBANDEIRANTES.COM.BR;CENTRO DE EDUCACAO INFANTIL E FUNDAMENTAL CANADENSE LTDA;MAPLE BEAR SETE LAGOAS;Ativa;Concluído;🔴;;;Implantação;;;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;51722639000111.0;Rua Cachoeira da Prata;Canaã;35700318.0;Sete Lagoas;MG;Sudeste;3432415920.0;ESCBANDEIRANTES@ESCBANDEIRANTES.COM.BR
805.0;Maple Bear São Paulo - Parque São Jorge;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;605970440053010;Rua Ivaí;Tatuapé;3080010.0;São Paulo;SP;Sudeste;1136758995.0;juridico@ligasolidaria.org.br;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;COLEGIO SANTA AMALIA MAPLE BEAR III - ENSINO BILINGUE;Ativa;Agendado;🔴;;;Implantação;;;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;60597044005301.0;Rua Ivaí;Tatuapé;3080010.0;São Paulo;SP;Sudeste;1136758995.0;juridico@ligasolidaria.org.br
856.0;Maple Bear Itumbiara - Centro;TATIANE BARBOSA DOS SANTOS XAVIER;Implantando;Franquia;549754680001200;Rua Tiradentes;Santa Inês;75526160.0;Itumbiara;GO;Centro-Oeste;6499317551.0;CRCAUL@HOTMAIL.COM;COLEGIO VERTICE BILINGUE DE ITUMBIARA LTDA;MAPLE BEAR ITUMBIARA;Ativa;Concluído;;;;Implantação;;;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;54975468000120.0;Rua Tiradentes;Santa Inês;75526160.0;Itumbiara;GO;Centro-Oeste;6499317551.0;CRCAUL@HOTMAIL.COM
