(Não Modificar) Conta;(Não Modificar) Soma de Verificação da Linha;(Não Modificar) Data de Modificação;ID da Escola;Nome da Escola;Status da Escola;Cluster;Carteira SAF;CNPJ;Logradouro Escola;Bairro Escola;CEP Escola;Cidade da Escola;Estado da Escola;Região da Escola;Telefone de Contato da Escola;E-mail da Escola
c3587e0a-fb95-ee11-be37-000d3a889d88;TwwdSXKIP7UzdOYgnbDb+GmrJ9mmHx9NDVn66embh0PwuygBz0pB6yvsx74SdrI9+CqV/fAEUxcIdJjsk6GzFg==;08/09/2025 12:50;793;Maple Bear Arcoverde;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;52369877000158;Rua Um;Cidade Jardim;56507125;Arcoverde;PE;Nordeste;8198992050;MAPLEBEAR.ARCOVERDE@GMAIL.COM
50cd7d10-fb95-ee11-be37-000d3a889d88;N8BHXE563qUclh0C8/L2gkUG7Apd06Ou4w9d/MYCWPBeDcG0Q6Mwf3RFjMoDu8EvQnVyaizkOVyGUKzuevOzOw==;08/09/2025 12:50;790;Maple Bear Pindamonhangaba;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;52363252000189;Rua Alcides Ramos Nogueira;Condominio Residencial Real Ville;12421705;Pindamonhangaba;SP;Sudeste;1141233344;LEGALIZACAO@SCLEMPRESARIAL.COM.BR
e8ce7d10-fb95-ee11-be37-000d3a889d88;ZavlhvN0Fka7/xbzZOadfoW6s+gD3uWpS6W1aIldLlvqnemRdrPMORY5cpeGU6vE046uSJD8cnieQWsj32rM3A==;25/03/2025 20:23;802;Maple Bear Balsas;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;52936569000167;Rua 28;;65800000;Balsas;MA;Nordeste;9991560600;AUGUSTOSCONTABILIDADE@GMAIL.COM
2db86622-fb95-ee11-be37-000d3a889d88;CP38qasVsd3C1r3o7zJCq9BO16xchq348RmL+cNZmLUcVLZCi+Z5BThc06if/iWF1lnCPPCExHLwTp5jwmecQQ==;31/03/2025 14:45;679;Maple Bear Paracatu - Centro I;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;48682676000139;Rua Manoel Melo Franco;Centro;38600260;Paracatu;MG;Sudeste;3897543390;NP.CONTABIL@OUTLOOK.COM
41035f28-fb95-ee11-be37-000d3a889d88;9Jo0I0SM3vah9ZXRbkUDqbBRdKGz2aR1PQnwzfgIWm2IvxXFHfSVOm7uSgXgjQR1AK+omTi20VlfedACoWV33g==;20/05/2025 17:51;742;Maple Bear Conselheiro Lafaiete - Areal I;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;44278187000165;Rua Valério Eugênio;Areal;36407006;Conselheiro Lafaiete;MG;Sudeste;3188661010;WANDERSONCOOPVEST@YAHOO.COM.BR
72045f28-fb95-ee11-be37-000d3a889d88;rLN+0lJWZxPHyvjcnvS52wRn0FupPI0oUeOFAoCTx4Vxl4lmZRMqD+A98xVhta4UphjEB95XD5WhH2wLmPKVMg==;31/03/2025 14:45;688;Maple Bear Araguaína - Alaska II;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;46037833000128;Av. Dom Bosco;Alaska Ii;77813650;Araguaína;TO;Norte;6392010114;MBA.DIREG@GMAIL.COM
54e9d522-6497-ee11-be37-000d3a88f98e;4NQAU7UZOSzdHH88m2nzBxqgP1hpElbZJKY6NUof0wTObu1bqhQHrWTVYk7NIaBMmtF49T1yE39MfHNQ9rpDEg==;25/03/2025 19:59;859;Maple Bear Mossoró;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;33150977000144;Rua Engenheiro Antônio Lira;Tirol;59015320;Natal;RN;Nordeste;8420100067;CONTATO@M2CONTABILIDADE.NET
9fb8d217-3df8-ee11-a1fe-000d3a88fd4c;drwO/y0Kmr/LvK59FhavLi4g5/YGEj17u8FkaUgYMBptaxpllfQmrFx7JoyRPgbkJUcSj+/d6XtFwCV2Sqcw4A==;11/07/2025 20:14;784;Maple Bear Sete Lagoas;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;51722639000111;Rua Cachoeira da Prata;Canaã;35700318;Sete Lagoas;MG;Sudeste;3432415920;ESCBANDEIRANTES@ESCBANDEIRANTES.COM.BR
c07cb285-42f8-ee11-a1fe-000d3a88fd4c;JbR0ZgTUcjunUaTbWTE34bBfOiQVoX26mJsmsLVd/vqBmcfWFkHlZodF/CrGrjYokGsT9ZGirU1RObILUXz1+w==;08/09/2025 12:51;805;Maple Bear São Paulo - Parque São Jorge;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;60597044005301;Rua Ivaí;Tatuapé;03080010;São Paulo;SP;Sudeste;1136758995;juridico@ligasolidaria.org.br
c506d668-8a09-ef11-9f89-0022483683f9;mqxDp6LcHp5jB1qZGgfcmJiUGO7lsGTLddMpv8zNJLhhTlDXUaL8H+JcpR10bz7psY3OTJreI2f6vDCJ38f7Rg==;30/07/2025 17:14;856;Maple Bear Itumbiara - Centro;Implantando;Implantação;TATIANE BARBOSA DOS SANTOS XAVIER;54975468000120;Rua Tiradentes;Santa Inês;75526160;Itumbiara;GO;Centro-Oeste;6499317551;CRCAUL@HOTMAIL.COM
