"Modelo","ID do modelo","Tipo de documento","Titular","Usadas","Publicado","Compartilhados"
"Maple Bear - Apresentação Comercial 2026","EAG2_eO0kTM","Apresentação","Maple Bear | Comunicação",153,154,48
"Guia do Consultor 2025 ","EAGryS7lIGo","A4","Maple Bear | Comunicação",59,10,0
"10 - SLM+ Outubro - Contagem","EAG2bEDvtj8",,"Maple Bear | Comunicação",41,46,2
"31. Happy Halloween","EAG0AjzZFwk","Post para Instagram (4:5)","Maple Bear | Comunicação",31,71,11
"Opção de texto para whatsapp","EAG1rgNBiX4","Post para Instagram (4:5)","Maple Bear | Comunicação",29,9,0
"12. Dia dos diretores","EAG3YpKLc3k","Post para Instagram (4:5)","Maple Bear | Comunicação",27,31,2
"Fundos para Reunião","EAGryfmAd_Q",,"Maple Bear | Comunicação",25,14,1
"Layout Apresentação - 1920 x 1080 px","EAGrycSi1ZA","Apresentação","Maple Bear | Comunicação",25,103,10
"Calendário Escolar 2026","EAGxReePPRQ","Panfleto (A4)","Maple Bear | Comunicação",24,16,5
"01 - Sobre a Pesquisa - 1350x1080 px","EAG1rWg0pQM","Post para Instagram (4:5)","Maple Bear | Comunicação",22,19,0
"Planejamento Estratégico Novembro","EAG3yJp7P2M","Planilha","Maple Bear | Comunicação",20,5,0
"02 - Lançamento - 1350x1080 px","EAG1rek83jw","Post para Instagram (4:5)","Maple Bear | Comunicação",20,16,0
"02 - Lançamento - 1920x1080 px","EAG1rcEWm90",,"Maple Bear | Comunicação",20,21,0
"04 - Fortaleça - 1350x1080 px","EAG1raNmakM","Post para Instagram (4:5)","Maple Bear | Comunicação",20,17,1
"Simpósio 2026 - Mídia Kit","EAG19qn42ck","Apresentação","Maple Bear | Comunicação",20,36,5
"05 - Últimos dias - 1350x1080 px","EAG1rWPpeSs","Post para Instagram (4:5)","Maple Bear | Comunicação",19,13,0
"Stories - Estáticas","EAG1TFpeaSo","Story","Maple Bear | Comunicação",18,14,0
"03 - Participe - 1350x1080 px","EAG1rUu2mZs","Post para Instagram (4:5)","Maple Bear | Comunicação",17,13,0
"Régua de Aquecimento","EAG1TEyQExo","Post para Instagram","Maple Bear | Comunicação",17,20,2
"STORY_Matrícula e Rematrícula 25-26","EAG2_z0EgXQ",,"Maple Bear | Comunicação",16,10,0
"Edital Maple Voices 25.pdf","EAGz6IrDgtg","A4","Maple Bear | Comunicação",15,11,0
"Condições SLM+ Editável","EAGz1PTbSBc","Post para Instagram (4:5)","Maple Bear | Comunicação",15,29,0
"Natal","EAGrySkWi-8",,"Maple Bear | Comunicação",15,11,1
"Matrícula","EAGryQO3RoU","Modo Foto do TikTok quadrado","Maple Bear | Comunicação",15,84,1
"11 - SLM+ Novembro - Parcelamento Prorrogado","EAG3xC3aSEc",,"Maple Bear | Comunicação",15,13,0
"20. Dia da Consciência Negra","EAG3Y29DCdM","Post para Instagram (4:5)","Maple Bear | Comunicação",15,16,3
"11 - SLM+ Novembro ","EAG2pQSbd5o","Post para Instagram (4:5)","Maple Bear | Comunicação",15,18,2
"Papel Timbrado - A4","EAGryfKVL10","Documento (A4)","Maple Bear | Comunicação",14,33,0
"Feed - Estáticas","EAG1TDIVCHY","1080 x 1350 px","Maple Bear | Comunicação",14,13,0
"Book Muito Além do Bilíngue 2025","EAGryQzYOe8","A4 (horizontal)","Maple Bear | Comunicação",13,33,2
"Vídeo 12.11","EAG3yGup1Kc","Vídeo","Maple Bear | Comunicação",13,10,2
"04 - Fortaleça - 1920x1080 px","EAG1rX0Kt8k",,"Maple Bear | Comunicação",13,13,0
"01 - Sobre a Pesquisa - 1920x1080 px","EAG1rUK-45A",,"Maple Bear | Comunicação",13,11,0
"01 - Outdoors - ECE","EAGryelvCrc",,"Maple Bear | Comunicação",12,17,1
"Layout Apresentação - 1920 x 1080 px","EAGryUcxHrw","Apresentação","Maple Bear | Comunicação",12,41,6
"Divulgação de Vagas 2024","EAGryT6ljHY","1080 x 1350 px","Maple Bear | Comunicação",12,23,5
"05 - Últimos dias - 1920x1080 px","EAG1rc-dqJ8",,"Maple Bear | Comunicação",12,11,0
"10. Outubro - Stories","EAG0AceFvdA","Story","Maple Bear | Comunicação",12,3,0
