"Modelo","ID do modelo","Tipo de documento","Titular","Usadas","Publicado","Compartilhados"
"Revista The Bear 17","EAGyHZvQLcY",,"Maple Bear | Comunicação",124,18,0
"Circular de Rematrícula 25/26","EAGsmYVzWtA","Livreto (210 × 297 mm)","Maple Bear | Comunicação",84,176,39
"Book Muito Além do Bilíngue 2025","EAGryQzYOe8","A4 (horizontal)","Maple Bear | Comunicação",42,86,2
"08. Dia Mundial da Alfabetização","EAGxYQXoagI","Post para Instagram (4:5)","Maple Bear | Comunicação",41,60,5
"Cópia de Layout Apresentação - 1920 x 1080 px","EAGryU3saVQ","Apresentação","Maple Bear | Comunicação",41,76,4
"TFR 2025 - Feed história de Terry Fox","EAGryasDkgg","1080 x 1350 px","Maple Bear | Comunicação",36,38,0
"07. Dia da Independência do Brasil","EAGxYdDAJ50","Post para Instagram (4:5)","Maple Bear | Comunicação",35,46,2
"Fatores MB Para Vencer (Educação Infantil e Ensino Fundamental - Anos Iniciais)","EAGryZL3E78",,"Maple Bear | Comunicação",33,36,0
"A3 Cartaz SLM+ Condições 25-26","EAGwtvUfFtw","A3","Maple Bear | Comunicação",32,25,5
"Feed - Atributos","EAGrybqXKBE","Post para Instagram (4:5)","Maple Bear | Comunicação",32,45,0
"Planejamento Agosto","EAGuv9-BwuM","Planilha","Maple Bear | Comunicação",30,3,0
"Circular de Rematrícula NOVO","EAGsmW5_A64","Documento (A4)","Maple Bear | Comunicação",29,92,3
"Layout Apresentação - 1920 x 1080 px","EAGrycSi1ZA","Apresentação","Maple Bear | Comunicação",29,66,6
"08 - SLM+ Agosto - Condições","EAGwKddnBpI","Post para Instagram (4:5)","Maple Bear | Comunicação",28,27,2
"25. Dia Internacional da Educação Infantil","EAGt0eHPLqk","Post para Instagram (4:5)","Maple Bear | Comunicação",27,30,5
"Layout Apresentação - 1920 x 1080 px","EAGryUcxHrw","Apresentação","Maple Bear | Comunicação",26,124,12
"Fundos para Reunião","EAGryfmAd_Q",,"Maple Bear | Comunicação",24,18,1
"Papel Timbrado - A4","EAGryfKVL10","Documento (A4)","Maple Bear | Comunicação",24,68,5
"Ficha - Anamnese Escolar 1.pdf","EAGxSKU9U1k","A4","Maple Bear | Comunicação",23,31,13
"20.08 - Resultado ENEM 2024","EAGwmzBvnTU","Post para Instagram (4:5)","Maple Bear | Comunicação",23,77,1
"01 - Outdoors - ECE","EAGryelvCrc",,"Maple Bear | Comunicação",23,22,3
"Post - 14/08","EAGwE2gxG7w","Post para Instagram (4:5)","Maple Bear | Comunicação",22,23,2
"Story - Editáveis","EAGvxawjaI0",,"Maple Bear | Comunicação",21,32,2
"Atividades ELE","EAGryWuAz7M","A4 (horizontal)","Maple Bear | Comunicação",21,18,4
"Resultado ENEM 2024","EAGwm7UvtnQ","Post para Instagram (4:5)","Maple Bear | Comunicação",20,63,6
"Feed - Editáveis","EAGs3ONcdTQ","Post para Instagram (4:5)","Maple Bear | Comunicação",20,18,2
"Feed - Matrículas","EAGryeYdJ7E","Post para Instagram (4:5)","Maple Bear | Comunicação",20,34,3
