Grupo economico;Mensagem enviada? ;Cluster 2024;Vendas SLM 2023;Vendas SLM 24;Meta 2024;Gap;% Atingimento Meta;Vendas Plano 5K;Usa CRM ?;Total de Leads 90 dias;Habilitação Voucher;INADIMPLÊNCIA FDMP;INADIMPLÊNCIA ROY;Turmas usando Portifólio com familia;Número de Planejamentos;Meta formalizada?;Direito a voucher?;Motivo ;OBS ATIVO ;Observações;Quantidade de vouchers;Código do voucher ;Voucher enviado ;De acordo?;Atualizado CRM? ;Kit de Rematrícula;Observação Kit 
MAPLE BEAR BRASÍLIA ASA  NORTE;;Alta Performance;?;509;?;;;20;NÃO USA CRM;;5%;;;;71;;Sim;FDMP/Roy/Portifólio;Validar mais uma ve com yndi, e contatar dizzendo por coonta dos problemas, os vouchers estão retidos;AS DIVIDAS DE 2023 FORAM PERDOADAS. DÍVIDAS DE 2024 ESTÃO EM NEGOCIAÇÃO. PORTANTO, FALAR COM A ESCOLA SOMENTE SOBRE A UTILIZAÇÃO DE PORTIFÓLIO/VOUCHERS LIBERADOS;Sim;MBDF2025116;Sim;Sim;Sim;;
MAPLE BEAR CAMPINAS - HÍPICA;;Potente;73;59;93;34;63,54%;1;NÃO USA CRM;60;3%;;;;17;125;Sim;Portifólio;decisão Ana ok;DEVIDO A SITUAÇÃO COM CAMPINAS TAQUARAL, ALINHEI COM RAMIRES DE LIBERAR OS VOUCHERS DESSA ESCOLA;13;MBSP2025302;Sim;;;;
MAPLE BEAR GOIÂNIA - MARISTA/ALPHAVILLE/PLATEUDOR;;Alta Performance;1498;1585;1793;208;88,38%;40;NÃO USA CRM;401;5%;;;;136;;Sim;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;79;MBGO2025103;Sim ;;;;
MAPLE BEAR SÃO LUIS - JARDIM RENASCENÇA;ok;Alta Performance;881;952;845;-107;112,69%;9;NÃO USA CRM;68;5%;;;;14;;Sim;Portifólio;Ingrid (owner) pediu para que eu entrasse em contato com a diretora Natalia. Ao falar com Natalia, ela informou que precisa consultar o time pedagógico para nos dar retorno sobre a previsão para implantação. Após isso recebi o contato da Carla e expliquei a elas que elas precisam habilitar os comentários dos pais nas posagens. Natalia está verificando a possibilidade de habilitar ; VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;48;MBMA2025140;Sim;Sim;Sim;;
MAPLE BEAR PORTO VELHO - OLARIA;;Alta Performance;937;884;956;72;92,47%;14;NÃO USA CRM;226;5%;;;;60;;Sim;Portifólio;;VOUCHERS LIBERARADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;44;MBRO2025101;Sim;;Sim;;
MAPLE BEAR SÃO PAULO - CHÁCARA KLABIN;ok;Alta Performance;809;801;759;-42;105,50%;2;NÃO USA CRM;162;5%;;;;7;;Sim;Portifólio;Validar mais uma ve com yndi, e contatar dizzendo por coonta dos problemas, os vouchers estão retidos;HAVIA UMA PENDÊNCIA QUE FOI REGULARIZADA;40; ;Sim;N/A;Sim;;
MAPLE BEAR SÃO PAULO - TATUAPÉ;;Desenvolvimento;773;781;326;-449;237,85%;1;NÃO USA CRM;218;5%;;;;33;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;39;MBSP2025205;Sim;Sim;Sim;;
MAPLE BEAR RECIFE - AFLITOS;Sem numero ;Desenvolvimento;701;743;737;-6;100,84%;10;NÃO USA CRM;220;5%;;;;40;;Sim;Portifólio;Sobre pencência financeira: 27/08/2024 - Acordo feito em 10x, com primeiro pagamento em 31/08 (CRM). Tratativa de vouchers feita com o diretor financeiro da unidade + Ana Flavia de tecnologia conforme solicitado pelo owner Daniel.;VOUCHERS LIBERADOS E ESCOLA CIENTE DE HABILITAR FUNCIONALIDADE DE CURTIDA PARA OS PAIS;37;MBPE2025100;Sim;Sim;Sim;;
MAPLE BEAR MACEIÓ - JATIÚCA;;Alta Performance;687;730;755;25;96,64%;4;NÃO USA CRM;134;5%;;;41;;;Sim ;;;;37;MBAL2025106;Sim ;;Sim;;
MAPLE BEAR JOÃO PESSOA - BESSA;;Alta Performance;592;595;612;17;97,16%;8;NÃO USA CRM;102;5%;;;28;;;Sim;;;ESSA ESCOLA  POSSUI EM SEU CONTRATO, UMA CLAUSULÁ QUE PERMITE 6% DE VOUCHERS (ALINHADO COM RODRIGO RAMIRES A VERIFICAR ABA JOÃO PESSOA BESSA);36;MBPB2025150;Sim ;;Sim;;
